CNPJ BÁSICO;NOME FANTASIA;CNAE FISCAL PRINCIPAL;EMDERECO COMPLETO;ID
72473770;NOVAS TENDENCIAS REPRESENTACOES COMERCIAIS;8211300;GUILHERME ROCHA ,218 - CENTRO ,FORTALEZA - CE;0
7491318;VIRTUAL CARD;8211300;JORNALISTA THOMAZ COELHO ,1678 - MESSEJANA ,FORTALEZA - CE;1
7993106;CAPITANIA SERVICOS;8211300;TARCISIO BONFIM ,219 - PAPICU ,FORTALEZA - CE;2
35225184;CHANGERIE;8211300;FRANCISCO GLICERIO ,290 - MARAPONGA ,FORTALEZA - CE;3
3672939;EFICIENCE CONTABILIDADE E ASSESSORIA;8211300;CONSELHEIRO ESTELITA ,130 - CENTRO ,FORTALEZA - CE;4
8034570;WS SERVICOS EMPRESARIAL;8211300;OLIVEIRA PAIVA ,1600 - CIDADE DOS FUNCIONARIOS ,FORTALEZA - CE;5
6204381;BRASIL GRAFICA FORTALEZA;8211300;LIVINO DE CARVALHO ,18 - ITAOCA ,FORTALEZA - CE;6
7741129;WHYSIS;8211300;SENADOR VIRGILIO TAVORA ,1500 - ALDEOTA ,FORTALEZA - CE;7
5891766;E. G. SERVICOS;8211300;PAULA RODRIGUES ,260 - FATIMA ,FORTALEZA - CE;8
3604876;MUSIC BEN;8211300;JOSE BASTOS ,4140 - BELA VISTA ,FORTALEZA - CE;9
4239284;FORTAL CONDOMINIOS;8211300;CATAO MAMEDE ,217 - ALDEOTA ,FORTALEZA - CE;10
5833560;LIMONE;8211300;DESEMBARGADOR MOREIRA ,1300 - ALDEOTA ,FORTALEZA - CE;11
7253321;HIDROQUIM;8211300;DESEMBARGADOR LAURO NOGUEIRA ,1500 - PAPICU ,FORTALEZA - CE;12
8677458;FORCE SERVICOS;8211300;PROFESSOR CARLOS LOBO ,260 - PARQUE MANIBURA ,FORTALEZA - CE;13
8376897;COMERCIAL NOVA ALVES;8211300;ROMEU MARTINS ,855 - MONTESE ,FORTALEZA - CE;14
9179170;PAPA PAZOS SERVICOS;8211300;OLIVIO CAMARA ,50 - JOSE BONIFACIO ,FORTALEZA - CE;15
9347601;BRAVAFORTE;8211300;QUINZE DE NOVEMBRO ,315 - MONTESE ,FORTALEZA - CE;16
10411956;ESPACO MEGE;8211300;WASHINGTON SOARES ,909 - EDSON QUEIROZ ,FORTALEZA - CE;17
2672781;BLUM DO BRASIL;8211300;WASHINGTON SOARES ,1400 - LUCIANO CAVALCANTE ,FORTALEZA - CE;18
10457698;ALUME SERVICOS;8211300;PEDRO BORGES ,33 - CENTRO ,FORTALEZA - CE;19
11271948;LOGOS SERVICOS;8211300;PACATA ,87-A - CASTELAO ,FORTALEZA - CE;20
20301216;ADRIANO FRIOS;8211300;212 (CJ SAO CRISTOVAO) ,235 - JANGURUSSU ,FORTALEZA - CE;21
11333546;WOO;8211300;TIBURCIO CAVALCANTI ,1563 - ALDEOTA ,FORTALEZA - CE;22
11467794;BLUME PRODUCOES E EVENTOS;8211300;FREI ODILON ,357 - PRESIDENTE KENNEDY ,FORTALEZA - CE;23
11494203;LAMINAX;8211300;WASHINGTON SOARES ,3663 - EDSON QUEIROZ ,FORTALEZA - CE;24
11779566;FGP SERVICOS ADMINISTRATIVOS;8211300;PROFESSOR CARLOS LOBO ,100 - PARQUE MANIBURA ,FORTALEZA - CE;25
12420686;TARGINO TUR E TRANSPORTE;8211300;CONRADO CABRAL ,820 - SAO GERARDO ,FORTALEZA - CE;26
12555762;ASE ESCRITORIO VIRTUAL;8211300;MONSENHOR SALAZAR ,183 - SAO JOAO DO TAUAPE ,FORTALEZA - CE;27
13039769;PRESAC CONTABILIDADE;8211300;RAUL UCHOA ,330 - MONTESE ,FORTALEZA - CE;28
14533380;PROCURADORIA DE SOLUCOES;8211300;RICARDO CASTRO MACEDO ,1769 - ENGENHEIRO LUCIANO CAVALCANTE ,FORTALEZA - CE;29
15161639;LRM SOLUCOES EMPRESARIAIS;8211300;PADRE ANCHIETA ,460 - MONTE CASTELO ,FORTALEZA - CE;30
14344558;HG+ COWORKING;8211300;NUNES VALENTE ,980 - ALDEOTA ,FORTALEZA - CE;31
9493555;LUCRE CONDOMINIO;8211300;FRANCISCO SA ,7905 - BARRA DO CEARA ,FORTALEZA - CE;32
13856387;MBR ASSESSORIA;8211300;AUDISIO PINHEIRO ,281 - DOM LUSTOSA ,FORTALEZA - CE;33
14913379;PRAX COWORKING;8211300;JOAQUIM SA ,1013 - DIONISIO TORRES ,FORTALEZA - CE;34
15628438;E L SERVIOS MEDICOS;8211300;ALEMANHA ,223 - ITAPERI ,FORTALEZA - CE;35
15766425;TRANSGAMA;8211300;JOSE OCELO HOLANDA BEZERRA ,34 - ENGENHEIRO LUCIANO CAVALCANTE ,FORTALEZA - CE;36
16366848;MULTIPLUS SERVICOS;8211300;ENGENHEIRO ALBERTO SA ,567 - VICENTE PINZON ,FORTALEZA - CE;37
16633710;HELANO EMPREENDIMENTOS IMOBILIARIOS;8211300;ALTO SANTO ,54 - JOSE BONIFACIO ,FORTALEZA - CE;38
10143468;ALTERNATIVA CONSULTORIA;8211300;DR JOSE LOURENCO ,870 - MEIRELES ,FORTALEZA - CE;39
16530690;ORGTECH;8211300;BENEDITO DE SOUSA ,331 - PAUPINA ,FORTALEZA - CE;40
20467687;LDBW - LUIZ DEUSDARA BUILDING WORKSHOP;8211300;JOSE VILAR ,473 - MEIRELES ,FORTALEZA - CE;41
12307962;COELHO SERVICOS;8211300;HERACLITO GRACA ,300 - CENTRO ,FORTALEZA - CE;42
17212688;CANTINHO SERVICOS;8211300;TORRES CAMARA ,71 - ALDEOTA ,FORTALEZA - CE;43
11327923;CONAC SERVICOS;8211300;OLIVEIRA PAIVA ,2579 - PARQUE MANIBURA ,FORTALEZA - CE;44
