CNPJ BÁSICO;NOME FANTASIA;CNAE FISCAL PRINCIPAL;EMDERECO COMPLETO;ID;LAT;LON
50974655;CAROLINA DIAS;6209100;AVELEDO ,501 - MESSEJANA ,FORTALEZA - CE;8893;-3.83659655;-38.49670606495471
37465737;APF ENGENHARIA;7112000;DOUTOR JOAQUIM FROTA ,1000 - JOSE DE ALENCAR ,FORTALEZA - CE;7142;-3.8013404;-38.46986174740549
26852804;MIX FRANGO;4729699;CORONEL VIRGILIO NOGUEIRA ,1018 - GRANJA LISBOA ,FORTALEZA - CE;10877;-3.789604;-38.6090679
29338960;MANEQUINS & CABIDES;4789099;JOSE AVELINO ,237 - CENTRO ,FORTALEZA - CE;11729;-3.7223218;-38.5204987
31787027;VINTAGE;9430800;VISCONDE DO RIO BRANCO ,1605 - CENTRO ,FORTALEZA - CE;8539;-3.7348073;-38.5242288
35274520;CONEXAO TELECOM;7319002;65 (CJ PREFEITO JOSE WALTER) ,271 - PREFEITO JOSE WALTER ,FORTALEZA - CE;9324;-3.82859;-38.5579466
49870984;BOM D + RESTAURANTE;5611201;VILEBALDO AGUIAR ,133 - COCO ,FORTALEZA - CE;2627;-3.7414839;-38.48640587215597
46333349;AGAPE;7319002;ALAN KARDEC ,1132 - MONTESE ,FORTALEZA - CE;9202;-3.766523;-38.54800108436123
388111;FAST;4781400;BEZERRA DE MENEZES ,2450 - SAO GERARDO ,FORTALEZA - CE;1262;-3.73493465;-38.5659868071884
31599068;BRASIL PARTICIPACOES;8211300;PRESIDENTE CASTELO BRANCO ,5211 - BARRA DO CEARA ,FORTALEZA - CE;525;-3.6996334;-38.5868987
45096051;PROTECT GESTAO EM NEGOCIOS DE SAUDE;7490104;JOAQUIM SA ,538 - DIONISIO TORRES ,FORTALEZA - CE;11524;-3.7487123;-38.50739353343195
31408440;NEEX TECNOLOGIA;6201501;DOUTOR FRANCISCO GADELHA ,470 - ENGENHEIRO LUCIANO CAVALCANTE ,FORTALEZA - CE;12667;-3.7741105;-38.493010020672656
21271872;FERROVIA;4774100;SARGENTO HERMINIO SAMPAIO ,3100 - PRESIDENTE KENNEDY ,FORTALEZA - CE;11230;-3.7259988;-38.5676153
37056487;LES CREPES BRASIL;5611201;WASHINGTON SOARES ,6180 - CAMBEBA ,FORTALEZA - CE;2575;-3.81297495;-38.480457626647
13403329;PAINEIS;6462000;SANTOS DUMONT ,3131 - ALDEOTA ,FORTALEZA - CE;11139;-3.7362064;-38.4969059
5388116;SALAO DE BELEZA DARLING;9602501;DOUTOR JOSE LOURENCO ,2840 - JOAQUIM TAVORA ,FORTALEZA - CE;10271;-3.7482768;-38.512353064062495
15641520;SPETACULLARE SALAO DE BELEZA EIRELI;9602501;WASHINGTON SOARES ,4835 - JOSE DE ALENCAR ,FORTALEZA - CE;10124;-3.80251465;-38.47904703555936
41567661;CONCEITO VIVER;4120400;GERVASIO GURGEL ,35 - CENTRO ,FORTALEZA - CE;3029;-3.7324902;-38.5220317
44338004;ER CONSTRUCOES E EMPREENDIMENTOS IMOBILIARIOS SPE LTDA;4110700;COMODORO ESTACIO BRIGIDO ,SN - ENGENHEIRO LUCIANO CAVALCANTE ,FORTALEZA - CE;8118;-3.7763208;-38.4902196
47018283;KAMIBAA EXPRESS SUL;5611201;EDILSON BRASIL SOARES ,1899 - EDSON QUEIROZ ,FORTALEZA - CE;2093;-3.78825915;-38.46899330804003
12191978;IDEAIS PRODUCOES;8230001;PERO COELHO ,428 - CENTRO ,FORTALEZA - CE;13152;-3.7338364;-38.5211092
4245883;SILVIO CAR;4520001;CORONEL NUNES DE  MELO ,1583 - RODOLFO TEOFILO ,FORTALEZA - CE;9948;-3.7512603;-38.554981
45826053;INSTITUTO VERDE MEL;9430800;SENADOR POMPEU ,834 - CENTRO ,FORTALEZA - CE;8449;-3.7265218;-38.5295116
40291892;ESPACO HARMONIZE;8630504;DESEMBARGADOR MOREIRA ,1300 - ALDEOTA ,FORTALEZA - CE;7716;-3.7372857;-38.4994708
12281604;C.Z IMOVEIS;6810201;OSVALDO CRUZ ,01 - MEIRELES ,FORTALEZA - CE;12962;-3.7266741;-38.4974318
17305801;CABANA DIGITAL & KIFOTO EVENTOS;6201501;TOMAS ACIOLI ,1493 - DIONISIO TORRES ,FORTALEZA - CE;12594;-3.74645715;-38.50445603770756
2734542;SAINT MARTIN FLAT SERVICE;8112500;ABOLICAO ,3340 - MEIRELES ,FORTALEZA - CE;7500;-3.7273618;-38.503358135696025
8400717;CONDOMINIO KALANIOT;8112500;TIANGUA ,457 - VILA UNIAO ,FORTALEZA - CE;7354;-3.7682082;-38.5414153
7226165;TUDO AQUI;4755502;MARIO MAMEDE ,943 - FATIMA ,FORTALEZA - CE;16153;-3.7549561;-38.524779
8755709;FRANCISCO PORTELA SILVA;7490104;JAIME BENEVOLO ,1570 - FATIMA ,FORTALEZA - CE;11419;-3.745746;-38.53012624454605
33888589;BS SERVICOS ELETRICOS;4321500;TUPI ,1802 - JOAO XXIII ,FORTALEZA - CE;12118;-3.772502;-38.5855644
17056324;FZ CONSTRUCOES;4120400;TULIPA NEGRA ,1995 - PARQUE SANTA ROSA ,FORTALEZA - CE;3173;-3.8182428;-38.5994303
52951774;PJ SERVICOS;7711000;DOM LUIS ,1200 - ALDEOTA ,FORTALEZA - CE;12454;-3.7362805;-38.4907015
12109398;CHURRASCARIA E PIZZARIA BRASAO;5611201;QUEIROZ RIBEIRO ,580 - MONTESE ,FORTALEZA - CE;1904;-3.7634674;-38.54653809577465
10963777;LA DANCE;4781400;PADRE ANTONIO TOMAS ,850 - ALDEOTA ,FORTALEZA - CE;1319;-3.74169275;-38.49594988264977
18255262;SOLARES;6810201;NUNES VALENTE ,2184 - DIONISIO TORRES ,FORTALEZA - CE;13100;-3.7484568;-38.5076668
51528306;DASART TRANSPORTE & LOGISTICA;4930202;MANOEL COSTA ,3377 - PAUPINA ,FORTALEZA - CE;10627;-3.85933345;-38.49590555399913
9426693;L E A;9430800;IDELFONSO ALBANO ,2400 - ALDEOTA ,FORTALEZA - CE;8510;-3.7422596;-38.5165876
24636744;ART GALERIE;4789099;OSVALDO CRUZ ,01 - MEIRELES ,FORTALEZA - CE;11640;-3.7266741;-38.4974318
42478964;BRASIL SOLUTION;8211300;ANTENOR ROCHA ALEXANDRE ,101 - PARQUE MANIBURA ,FORTALEZA - CE;176;-3.79222215;-38.4853659875
30810771;MDK;1412601;CONSELHEIRO ARAUJO LIMA ,1000 - DOM LUSTOSA ,FORTALEZA - CE;4244;-3.7532878;-38.5845805
32200981;MBF HOLDING CENTER PARTICIPACOES;6462000;BARAO DO RIO BRANCO ,1224 - CENTRO ,FORTALEZA - CE;11090;-3.7289792;-38.5294059
43866713;REGIS TAVARES GESTAO IMOBILIARIA;6822600;PEREIRA FILGUEIRAS ,2020 - ALDEOTA ,FORTALEZA - CE;13684;-3.7308005;-38.5053975
