CNPJ BÁSICO;NOME FANTASIA;CNAE FISCAL PRINCIPAL;EMDERECO COMPLETO;ID
11271948;LOGOS SERVICOS;8211300;PACATA ,87-A - CASTELAO ,FORTALEZA - CE;20
20301216;ADRIANO FRIOS;8211300;212 (CJ SAO CRISTOVAO) ,235 - JANGURUSSU ,FORTALEZA - CE;21
11333546;WOO;8211300;TIBURCIO CAVALCANTI ,1563 - ALDEOTA ,FORTALEZA - CE;22
13039769;PRESAC CONTABILIDADE;8211300;RAUL UCHOA ,330 - MONTESE ,FORTALEZA - CE;28
9493555;LUCRE CONDOMINIO;8211300;FRANCISCO SA ,7905 - BARRA DO CEARA ,FORTALEZA - CE;32
13856387;MBR ASSESSORIA;8211300;AUDISIO PINHEIRO ,281 - DOM LUSTOSA ,FORTALEZA - CE;33
16530690;ORGTECH;8211300;BENEDITO DE SOUSA ,331 - PAUPINA ,FORTALEZA - CE;40
11938373;CSM SERVICOS ADMINISTRATIVOS;8211300;CLAUDIO MANUEL DIAS LEITE ,290 - PATRIOLINO RIBEIRO ,FORTALEZA - CE;46
11823944;BIRZAI;8211300;RODRIGUES JUNIOR ,380 - CENTRO ,FORTALEZA - CE;68
19282242;BRACAN CONSULTORIA E TREINAMENTO LTDA;8211300;TIBURCIO CAVALCANTI ,2492 - DIONISIO TORRES ,FORTALEZA - CE;69
28327472;TDP REPRESENTACOES E COMERCIO;8211300;DAS CARNAUBAS ,176 - EDSON QUEIROZ ,FORTALEZA - CE;91
31362788;SERVICOS JC CONTABIL;8211300;HONORINA MAIA ,600 - PARQUE SANTA MARIA ,FORTALEZA - CE;96
33797776;CIFEC;8211300;D (LOT. CENTRO SUL) ,81 - PARANGABA ,FORTALEZA - CE;112
36655613;G & F SERVICOS ADMINISTRATIVOS;8211300;M (CONJ. JOAO PAULO II) ,1953 - BARROSO ,FORTALEZA - CE;131
37104934;ENGE+ ENGENHARIA;8211300;TIBURCIO CAVALCANTI ,1425 - ALDEOTA ,FORTALEZA - CE;137
39826091;JM COWORKING;8211300;87 (CONJ. RESID. PREF. JOSE WALTER) ,680 - PREFEITO JOSE WALTER ,FORTALEZA - CE;148
40191763;PAULO LUCIANO SERVICOS CLINICOS;8211300;521 (CONJ. CEARA II) ,102 - CONJUNTO CEARA II ,FORTALEZA - CE;150
40376199;FAG SERVICOS EM SAUDE;8211300;1032 (CONJ. CEARA II) ,126 - CONJUNTO CEARA II ,FORTALEZA - CE;153
40447867;M.C. VIANA;8211300;1 (CONJ. RESID. PEQUENO MONDUBIM) ,65 - MONDUBIM ,FORTALEZA - CE;154
40606187;A C CONSULTORIA;8211300;87 (CONJ. RESID. PREF. JOSE WALTER) ,680 - PREFEITO JOSE WALTER ,FORTALEZA - CE;155
40383847;GABRIEL PASSOS FERREIRA DE MELO;8211300;ENGENHEIRO HUMBERTO MONTE ,2929 - PICI ,FORTALEZA - CE;159
41900555;DSG REPRESENTACOES;8211300;IZABEL SIDNEY ,50 - TAUAPE ,FORTALEZA - CE;170
43603234;DOM SANTANA;8211300;THEODORICO BARROSO ,843 - MONTESE ,FORTALEZA - CE;187
38334054;SAMLUC SOLAR;8211300;WASHINGTON SOARES - ATE 3737 - LADO IMPAR ,909 - EDSON QUEIROZ ,FORTALEZA - CE;195
46799580;GM INSTALACOES;8211300;03 DO LOTEAMENTO BAIRRO NOVO ,350 - PEDRAS ,FORTALEZA - CE;226
46903965;EBX SOLUCOES;8211300;A (CONJ. RESID. PREF. JOSE WALTER) ,331 - PREFEITO JOSE WALTER ,FORTALEZA - CE;230
46497393;MCF - EDUCACAO DIGITAL;8211300;PADRE PEDRO DE ALENCAR ,1791 - PAUPINA ,FORTALEZA - CE;238
48729466;APEIRON SOLUCOES INTEGRADAS;8211300;103 (CJ NOVO MONDUBIM) ,210 - NOVO MONDUBIM ,FORTALEZA - CE;254
49043166;IUR COWORKING;8211300;ENGENHEIRO HUMBERTO MONTE ,2929 - PICI ,FORTALEZA - CE;261
51296014;THERMO FRIO MANUTENCAO E MONTAGENS;8211300;TULIPAS NEGRAS ,1162 - PARQUE SANTA ROSA ,FORTALEZA - CE;290
51800383;NOBRE SAL;8211300;B LOTEAMENTO PARQUE MONTENEGRO I ,700 - PARQUE DOIS IRMAOS ,FORTALEZA - CE;296
52978942;MACHO BET;8211300;I (CONJ. PREF. JOSE WALTER) ,901 - PREFEITO JOSE WALTER ,FORTALEZA - CE;307
52991578;Y G CONSULTORIA;8211300;87 (CONJ. RESID. PREF. JOSE WALTER) ,680 - PREFEITO JOSE WALTER ,FORTALEZA - CE;308
53073217;VETTOR SERVICOS DE LIMPEZA CONDOMINIAL;8211300;DOM MANUEL DE MEDEIROS ,1227 - PARQUELANDIA ,FORTALEZA - CE;312
53619171;TR GALO MAGO;8211300;87 (CONJ. RESID. PREF. JOSE WALTER) ,281 - PREFEITO JOSE WALTER ,FORTALEZA - CE;319
2514066;SEPTEM CONSULTORIA EMPRESARIAL;8211300;DR. ALBERTO ELOY DA COSTA ,14 - MONTE CASTELO ,FORTALEZA - CE;337
72555873;DODOU MAGAZINE;8211300;F LOT ST PIRIRIT IV ,SN - DENDE ,FORTALEZA - CE;339
8727701;SMART LUZ;8211300;NORTE DO LOTEAMENTO CAJAZEIRAS I ,26 - CAJAZEIRAS ,FORTALEZA - CE;351
9381974;BIODOME;8211300;GONCALVES LEDO ,1170 - ALDEOTA ,FORTALEZA - CE;354
10475170;BAOLI;8211300;CONTORNO SUL (CONJ. SAO CRISTOVAO) ,997 - JANGURUSSU ,FORTALEZA - CE;358
13645285;DS COMERCIO E SERVICOS;8211300;101 (CONJ. CEARA II) ,11 - CONJUNTO CEARA II ,FORTALEZA - CE;367
11688517;MONTEZUMA SERVICOS EMPRESARIAIS;8211300;JOAO CORDEIRO ,1508 - PRAIA DE IRACEMA ,FORTALEZA - CE;384
18922811;LEBEN SERVICOS;8211300;LOURIVAL CORREIA PINHO ,481 - PARQUE MANIBURA ,FORTALEZA - CE;387
19404415;T T A SERVICOS;8211300;RODRIGUES JUNIOR ,428 - CENTRO ,FORTALEZA - CE;389
20184014;RE SERVICOS;8211300;ZUCA  ACCIOLY ,1001 - MANOEL DIAS BRANCO ,FORTALEZA - CE;393
21671036;GEFIN;8211300;F LOT ST PIRIRIT IV ,SN - DENDE ,FORTALEZA - CE;400
23893864;LADOSUL SERVICOS ADMINISTRATIVOS;8211300;PROFESSOR AMARILIO CARTAXO ,711 - DE LOURDES ,FORTALEZA - CE;407
27320325;LG SERVICOS GRAFICOS;8211300;110 (CJ TUPAN MIRIM) ,262 - PARQUE DOIS IRMAOS ,FORTALEZA - CE;426
27923152;GSILVA APOIO ADMINISTRATIVO;8211300;ENGENHEIRO HUMBERTO MONTE ,2929 - PICI ,FORTALEZA - CE;429
29288755;3M OFFICE;8211300;ENGENHEIRO LUIZ VIEIRA ,257 - VICENTE PINZON ,FORTALEZA - CE;442
31435467;SABOR DA CASA;8211300;DOUTOR PERGENTINO MAIA ,1510 - GUAJIRU ,FORTALEZA - CE;455
32201809;FRANCISCO JOSE;8211300;101 (S D O) ,1311 - NOVO MONDUBIM ,FORTALEZA - CE;457
33419149;DOM MASTROIANNE;8211300;ENGENHEIRO HUMBERTO MONTE ,2929 - PICI ,FORTALEZA - CE;465
33399084;EL SHADAY SERVICOS;8211300;H (CONJ. CEARA II) ,2327 - GRANJA LISBOA ,FORTALEZA - CE;474
35560035;MJ CONSULTORIA;8211300;103 (CJ NOVO MONDUBIM) ,210 - NOVO MONDUBIM ,FORTALEZA - CE;483
35641473;FAM REPRESENTACOES;8211300;CORONEL VIRGILIO NOGUEIRA PAES ,1068 - GRANJA LISBOA ,FORTALEZA - CE;484
36413270;GRUPO J;8211300;1 (COND. NAPOLEAO VIANA) ,62 - DIAS MACEDO ,FORTALEZA - CE;494
36750478;H R COWORKING;8211300;RICARDO CASTRO MACEDO (ENG LUC CAVALCANTE) ,1769 - ENGENHEIRO LUCIANO CAVALCANTE ,FORTALEZA - CE;497
39709411;DIEGO AMERICAN GRIFFS;8211300;B DO LOTEAMENTO RESIDENCIAL NOVO PASSARE ,671 - PASSARE ,FORTALEZA - CE;510
42308490;SHALOM;8211300;D (LOT. CENTRO SUL) ,81 - PARANGABA ,FORTALEZA - CE;534
42962859;OFFICE PLACE;8211300;ENGENHEIRO HUMBERTO MONTE ,2929 - PICI ,FORTALEZA - CE;542
33247250;MULTIMEDIA TECNOLOGIA E GESTAO;8211300;PAULO MENDONCA ,297 - MONDUBIM ,FORTALEZA - CE;550
41149784;J. R. APOIO ADMINISTRATIVO;8211300;ENGENHEIRO HUMBERTO MONTE ,2929 - PICI ,FORTALEZA - CE;554
44245556;LUCIO SERVICOS DE APOIO ADMINISTRATIVOS;8211300;CONSUL GOMES DE FREITAS ,5027 - SAPIRANGA / COITE ,FORTALEZA - CE;558
45343454;ESL LICITA;8211300;57 (CONJ. PREF. JOSE WALTER) ,380 - PREFEITO JOSE WALTER ,FORTALEZA - CE;567
48804763;NOVABAN LOCACAO DE BANHEIROS QUIMICOS;8211300;JOSE DE NOROES MAIA ,239 - BARROSO ,FORTALEZA - CE;601
48921838;RC ADVISORY;8211300;B DO LOTEAMENTO RESIDENCIAL NOVO PASSARE ,653 - PASSARE ,FORTALEZA - CE;603
49425182;AKP SERVICOS;8211300;3 DO RESIDENCIAL CAMPO DOS INGLESES ,28 - JARDIM CEARENSE ,FORTALEZA - CE;610
50259628;MAX COWORKING;8211300;B LOTEAMENTO PARQUE MONTENEGRO I ,700 - PARQUE DOIS IRMAOS ,FORTALEZA - CE;618
50652922;FBS CONSULTORIA;8211300;ENGENHEIRO HUMBERTO MONTE ,2929 - PICI ,FORTALEZA - CE;622
44734793;MFP SOLUCOES;8211300;SAO VICENTE DE PAULO ,369 - ANTONIO BEZERRA ,FORTALEZA - CE;635
53304554;SISSI MACHADO CONSULTORIA, PALESTRAS E TREINAMENTOS;8211300;03 DO LOTEAMENTO CIDADE SUL ,101 - PARQUE IRACEMA ,FORTALEZA - CE;645
4721481;CAVALCANTI INOVACOES TECNOLOGICAS;8211300;ILDEFONSO ALBANO ,600 - PRAIA DE IRACEMA ,FORTALEZA - CE;660
23489719;ORGANIZACAO RODRIGUES;8211300;B LOTEAMENTO PARQUE MONTENEGRO I ,700 - PARQUE DOIS IRMAOS ,FORTALEZA - CE;661
4657127;LIMA DIESEL;8211300;B LOTEAMENTO PARQUE MONTENEGRO I ,700 - PARQUE DOIS IRMAOS ,FORTALEZA - CE;664
10483444;BETANIA LACTEOS;8211300;CARLOS CAMARA ,1454 - JARDIM AMERICA ,FORTALEZA - CE;666
11107469;RM RESOLUTIVA;8211300;ENGENHEIRO HUMBERTO MONTE ,2929 - PICI ,FORTALEZA - CE;677
9064591;VNX SERVIICOS ADMINISTRATIVOS;8211300;TOMAS ILDEFONSO ,155 - MESEJANA ,FORTALEZA - CE;686
18180332;DUPPLA SERVICOS;8211300;GILBERTO CAMARA ,894 - VILA ELLERY ,FORTALEZA - CE;699
19529933;S M A SERVICOS ADMINISTRATIVOS;8211300;DO ROSARIO ,77 - CENTRO ,FORTALEZA - CE;701
20767014;MR COMERCIO E SERVICOS;8211300;P DO LOTEAMENTO PARQUE MONTENEGRO II ,242 - PREFEITO JOSE WALTER ,FORTALEZA - CE;705
24865497;MGF CONSTRUCOES;8211300;SAO PAULO ,32 - CENTRO ,FORTALEZA - CE;715
19163467;GERENCIARH;8211300;DOUTOR GILBERTO CAMARA ,483 - VILA ELLERY ,FORTALEZA - CE;719
26949140;S S SERVICOS;8211300;WASHINGTON SOARES 85 ,85 - EDSON QUEIROZ ,FORTALEZA - CE;729
27684085;R&F TRANSPORTES;8211300;S DO LOTEAMENTO PARQUE MONTENEGRO II ,SN - PREFEITO JOSE WALTER ,FORTALEZA - CE;732
