hex_id;geometry
0;8880104e0bfffff;POLYGON ((-38.52510905277765 -3.813308480101637, -38.521088065556434 -3.8099309466858866, -38.522006581240724 -3.804759191585836, -38.52694603948309 -3.802964909113375, -38.53096706529207 -3.806342396089447, -38.53004859428268 -3.811514211968449, -38.52510905277765 -3.813308480101637))
1;88801040b7fffff;POLYGON ((-38.5344170304922 -3.8389568084507912, -38.53039577762127 -3.8355791381391104, -38.53131427741733 -3.8304072889890137, -38.536253985369086 -3.8286130495512394, -38.5402752766971 -3.8319906736289018, -38.53935682162802 -3.8371625833691443, -38.5344170304922 -3.8389568084507912))
2;8880104e09fffff;POLYGON ((-38.519251000111 -3.820274459214612, -38.51523005156221 -3.816896879395789, -38.51614860660155 -3.8117251535565893, -38.521088065556434 -3.8099309466858866, -38.52510905277765 -3.813308480101637, -38.52419054238331 -3.818480266781955, -38.519251000111 -3.820274459214612))
3;88801045cdfffff;POLYGON ((-38.614374924043695 -3.8050713814801433, -38.610352812853215 -3.80169399431756, -38.61127085092021 -3.7965216715767536, -38.61621095504683 -3.794726676398215, -38.620233103544514 -3.7981040172673137, -38.61931511062012 -3.803276399599203, -38.614374924043695 -3.8050713814801433))
4;8880104f31fffff;POLYGON ((-38.45308684432533 -3.7765775635314545, -38.449067019437194 -3.7732001721831563, -38.44998586199071 -3.768028943480138, -38.45492448515224 -3.7662350442733783, -38.45894434965582 -3.7696123887529907, -38.45802555139418 -3.774783679298866, -38.45308684432533 -3.7765775635314545))
5;88801045a5fffff;POLYGON ((-38.58989412789037 -3.760741433064955, -38.58587258235432 -3.7573642728325427, -38.58679069265041 -3.7521921714705426, -38.59173030348572 -3.7503971703007464, -38.595751886675394 -3.7537742838649035, -38.59483382138788 -3.7589464452578856, -38.58989412789037 -3.760741433064955))
6;8880104e9dfffff;POLYGON ((-38.57197201837793 -3.7575769063095046, -38.567950724826055 -3.75419974543554, -38.5688689249976 -3.749027764510988, -38.57380837381866 -3.7472328841698808, -38.57782970528074 -3.7506099983115835, -38.576911550023304 -3.755782039517436, -38.57197201837793 -3.7575769063095046))
7;88801041d9fffff;POLYGON ((-38.49926671017955 -3.880751382953651, -38.49524568982991 -3.87737343600692, -38.496164425677975 -3.8722017688756014, -38.501104137340015 -3.8704079877188655, -38.50512519665496 -3.8737858886513488, -38.504206505354325 -3.878957616745615, -38.49926671017955 -3.880751382953651))
8;8880104e61fffff;POLYGON ((-38.49547237835919 -3.8240731289067935, -38.49145172388418 -3.820695501937158, -38.49237040734817 -3.8155239277700352, -38.49730970077841 -3.813729919409943, -38.50133039426696 -3.81710749994927, -38.50041175532349 -3.8222791352697976, -38.49547237835919 -3.8240731289067935))
9;8880107b69fffff;POLYGON ((-38.58058410275204 -3.7350938867587113, -38.57656282161882 -3.731716866152453, -38.57748094812159 -3.726544864550926, -38.58242031081281 -3.724749823326753, -38.58644162973044 -3.7281267970591454, -38.58552354818419 -3.7332988588803584, -38.58058410275204 -3.7350938867587113))
10;8880104f21fffff;POLYGON ((-38.43241335129205 -3.788923782844216, -38.42839373498321 -3.785546298751038, -38.42931269992636 -3.7803751907573324, -38.43425123700543 -3.7785815047555675, -38.43827089322706 -3.7819589420214923, -38.4373519724686 -3.7871301121072523, -38.43241335129205 -3.788923782844216))
11;8880104e1bfffff;POLYGON ((-38.5457857683622 -3.8009592286940372, -38.541764577192495 -3.797581788644849, -38.54268296937593 -3.792409915056969, -38.54762250795884 -3.7906154209795777, -38.551643737418665 -3.7939928145478587, -38.55072539001722 -3.7991647486652234, -38.5457857683622 -3.8009592286940372))
12;8880104ee3fffff;POLYGON ((-38.54233538847233 -3.7683451631447866, -38.53831442425997 -3.7649679086427343, -38.53923279298864 -3.7597961039840224, -38.54417208118159 -3.7580014931621446, -38.548193083730055 -3.7613787009410875, -38.54727475976121 -3.766550566255807, -38.54233538847233 -3.7683451631447866))
13;8880104ec5fffff;POLYGON ((-38.548540860701294 -3.785443518881526, -38.544519719637215 -3.7820661714440558, -38.54543807771453 -3.776894301595557, -38.550377532073135 -3.7750997186451145, -38.554398711386206 -3.778477019496556, -38.553480398103424 -3.783648949875255, -38.548540860701294 -3.785443518881526))
14;88801045e5fffff;POLYGON ((-38.59024332408422 -3.784807278405512, -38.58622164003131 -3.7814299797174367, -38.58713977907897 -3.776257840634501, -38.59207955717787 -3.774462940263034, -38.5961012788819 -3.7778401924564786, -38.595183184847656 -3.7830123915067957, -38.59024332408422 -3.784807278405512))
15;8880104c2dfffff;POLYGON ((-38.46755802553932 -3.747133159761175, -38.46353817102312 -3.7437559571812504, -38.46445690130656 -3.7385846757161127, -38.46939544175362 -3.7367905351024553, -38.47341533567483 -3.740167690635286, -38.47249664975572 -3.7453390338196813, -38.46755802553932 -3.747133159761175))
16;8880104c5bfffff;POLYGON ((-38.52441509086778 -3.7651796658681906, -38.52039438068786 -3.7618024115892137, -38.52131283879441 -3.7566307286178, -38.52625196242732 -3.754836239009965, -38.530272711199785 -3.7582134465019172, -38.529354297758545 -3.763385190379523, -38.52441509086778 -3.7651796658681906))
17;8880104557fffff;POLYGON ((-38.59680013389069 -3.8259728581450876, -38.59277813513022 -3.822595332321298, -38.59369629209193 -3.817423094493123, -38.59863640277288 -3.815628322701715, -38.602658439094746 -3.819005802341649, -38.60174032718601 -3.8241780999476176, -38.59680013389069 -3.8259728581450876))
18;8880104ea5fffff;POLYGON ((-38.527170381167686 -3.749664528135451, -38.52314972093487 -3.746287367828635, -38.52406814496825 -3.741115690187399, -38.529007184568336 -3.739321111936915, -38.53302788335258 -3.742698225351599, -38.53210950399706 -3.7478699638996935, -38.527170381167686 -3.749664528135451))
19;8880104e6dfffff;POLYGON ((-38.48961432291943 -3.8310386518080155, -38.48559370754265 -3.827660978444705, -38.48651243026443 -3.822489434121644, -38.49145172388418 -3.820695501937158, -38.49547237835919 -3.8240731289067935, -38.49455370012798 -3.8292447344453913, -38.48961432291943 -3.8310386518080155))
20;8880104183fffff;POLYGON ((-38.48099992379107 -3.8535187044354884, -38.47697929795003 -3.8501408925687586, -38.47789809393224 -3.8449693777525833, -38.48283747131917 -3.843175613517094, -38.48685813638428 -3.846553379131992, -38.48593938485014 -3.8517249552250146, -38.48099992379107 -3.8535187044354884))
21;8880104f03fffff;POLYGON ((-38.45928909165534 -3.793675044179762, -38.45526908863764 -3.790297557811192, -38.45618792088482 -3.7851262639162067, -38.46112671183489 -3.783332394663463, -38.4651467543811 -3.7867098343004013, -38.46422796646049 -3.791881189912527, -38.45928909165534 -3.793675044179762))
22;8880104f41fffff;POLYGON ((-38.45377595920613 -3.824703011400211, -38.44975585727592 -3.8213253378302268, -38.45067475748711 -3.8161540396195623, -38.45561371533885 -3.814360353254088, -38.45963385687992 -3.817737980302822, -38.45871500097014 -3.822909340229095, -38.45377595920613 -3.824703011400211))
